Detector module ID,Assembly date,Assembler,FE board number,A0 SM ID,A1 SM ID,Resistance when assembling (Ohms),Kapton foam layers,Assembly location,Cu housing provider,Cu housing ID,Cu housing tool,Thermomaterial applied,DeltaT average at 0.25 A [ºC],RMS DeltaT over 4 sensors,Average LY,Average max(|LO asymmetry|),RU,Resistance at 23ºC,CP Width Bottom before assembly [mm],Width Bottom [mm],Width Bottom Edge [mm],Delta Bottom,CP Width High before assambly [mm],Width High [mm],Width High Edge [mm],Delta Top,A visible gap between copper tabs and SiPM packages (Y/N),All copper tabs 90 degrees (Y/N),Tab is NOT touching glue,"> 0.4 variation in TEC response to bias (Y, value/N)",Comments,Mounted on tray?
32110040004201,17/10/2024,Soham,1862,32110020008404,32110020008413,51.16,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004202,17/10/2024,Thomas,1489,32110020008407,32110020008408,51.43,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004203,17/10/2024,Alex,0437,32110020008406,32110020008409,51.88,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004204,17/10/2024,Ray,1780,32110020008403,32110020008410,53.24,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004205,17/10/2024,Jason,0468,32110020008414,32110020008416,51.99,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004206,30/10/2024,Alex,1802,32110020008454,32110020008480,51.01,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004207,30/10/2024,Jason,0811,32110020008460,32110020008541,51.44,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004208,30/10/2024,Ray,1462,32110020008443,32110020008476,51.39,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004209,30/10/2024,Soham,1625,32110020008475,32110020008534,51.08,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004210,01/11/2024,Jason,0632,32110020008542,32110020008549,51.75,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004211,01/11/2024,Ray,0652,32110020008548,32110020008553,52.56,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004212,01/11/2024,Ludo,1636,32110020008464,32110020008554,51.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004213,01/11/2024,Soham,1468,32110020008499,32110020008564,51.45,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004214,05/11/2024,Ray,1594,32110020008450,32110020008461,51.17,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004215,05/11/2024,Thomas,1597,32110020008453,32110020008457,51.59,1,,"used LYSO barcode number, not SM barcode number, supposed to match. can still match SM 423 and SM 452",,,,,,,,,,,,,,,,,,,,,,,
32110040004216,05/11/2024,Jason,1407,32110020008429,32110020008463,52.68,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004217,05/11/2024,Ludovico,1407,32110020008455,32110020008474,51.61,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004218,05/11/2024,Soham,1647,32110020008482,32110020008526,54.15,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004219,07/11/2024,Jason,1517,32110020008423,32110020008452,52.08,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004220,07/11/2024,Soham,1567,32110020008438,32110020008442,52.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004221,07/11/2024,Ludovico,1789,32110020008555,32110020008568,52.1,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004222,08/11/2024,Paul,1571,32110020008437,32110020008540,51.06,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004223,14/11/2024,Thomas,1597,32110020008578,32110020008614,51.55,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004224,14/11/2024,Ludovico,1474,32110020008583,32110020008612,52.94,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004225,14/11/2024,Jason,1570,32110020008601,32110020008602,51.77,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004226,14/11/2024,Soham,0640,32110020008510,32110020008596,51.53,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004227,21/11/2024,Ray,1460,32110020008661,32110020008675,50.14,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004228,21/11/2024,Jason,1500,32110020008587,32110020008648,52.32,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004229,21/11/2024,Thomas,0530,32110020008643,32110020008656,50.78,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004230,21/11/2024,Jason,1482,32110020008615,32110020008672,51.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004231,21/11/2024,Soham,1496,32110020008457,32110020008671,50.83,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004232,21/11/2024,Thomas,1629,32110020008445,32110020008664,51.07,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004233,21/11/2024,Jason,1788,32110020008467,32110020008551,51.86,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004234,21/11/2024,Paul,0609,32110020008449,32110020008630,51.42,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004235,22/11/2024,Jason,0674,32110020008469,32110020008567,51.72,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004236,22/11/2024,Paul,1490,32110020008468,32110020008653,51.43,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004237,22/11/2024,Thomas,1470,32110020008581,32110020008618,51.9,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004238,22/11/2024,Jason,1437,32110020008430,32110020008676,51.27,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004239,22/11/2024,Paul,1569,32110020008609,32110020008624,51.62,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004240,22/11/2024,Thomas,1841,32110020008402,32110020008652,50.9,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004241,22/11/2024,Ludovico,1588,32110020008606,32110020008659,51.58,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004242,22/11/2024,Paul,0491,32110020008577,32110020008660,51.66,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004243,22/11/2024,Jason,1615,32110020008582,32110020008598,52.71,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004244,22/11/2024,Ludovico,1609,32110020008543,32110020008636,51.8,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004245,05/12/2024,Paul,1867,32110020008595,32110020008598,52.35,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004246,05/12/2024,Paul,0310,32110020008495,32110020008569,58.78,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004247,05/12/2024,Jason,1615,32110020008639,32110020008687,51.25,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004248,11/12/2024,Jason,1603,32110020008479,32110020008565,51.73,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004249,12/12/2024,Jason,0498,32110020008637,32110020008663,51.23,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004250,12/12/2024,Jason,1574,32110020008513,32110020008686,53.03,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004251,13/12/2024,Jason,1866,32110020008459,32110020008638,51.04,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004252,13/12/2024,Jason,1854,32110020008627,32110020008685,52.37,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004253,13/12/2024,Jason,1884,32110020008572,32110020008635,52.4,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004254,16/12/2024,Thomas,1861,32110020008545,32110020008616,52.31,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004255,17/12/2024,Jason,1573,32110020008619,32110020008657,51.51,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004256,17/12/2024,Jason,1577,32110020008424,32110020008631,52.32,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004257,07/01/2025,Jason,1457,32110020008628,32110020008681,51.3,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004258,15/01/2025,Jason,1869,32110020008458,32110020008591,51.66,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004259,15/01/2025,Thomas,1484,32110020008677,32110020008691,50.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004260,15/01/2025,Jason,1499,32110020008634,32110020008654,50.98,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004261,15/01/2025,Alex,1485,32110020008560,32110020008646,51.91,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004262,15/01/2025,Jason,1592,32110020008477,32110020008588,51.62,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004263,15/01/2025,Alex,1432,32110020008411,32110020008529,51.82,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004264,15/01/2025,Thomas,1860,32110020008465,32110020008670,51.56,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004265,15/01/2025,Jason,1767,32110020008462,32110020008592,51.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004266,16/01/2025,Jason,1650,32110020008622,32110020008678,51.32,1,,,,,,,,,,,,,,,,,,,,,,,,,
