CC_num,SCA_A_ID,SCA_B_ID,LpGBT_L0_ID,LpGBT_L1_ID,LpGBT_L0_version,LpGBT_L1_version,L0_EOM_IEO,L1_EOM_IEO,20_SCA_A_recorded_temp,20_SCA_A_slope,20_SCA_A_offset,20_SCA_A_current,20_SCA_A_date,20_SCA_B_recorded_temp,20_SCA_B_slope,20_SCA_B_offset,20_SCA_B_current,20_SCA_B_date,10_SCA_A_recorded_temp,10_SCA_A_slope,10_SCA_A_offset,10_SCA_A_current,10_SCA_A_date,10_SCA_B_recorded_temp,10_SCA_B_slope,10_SCA_B_offset,10_SCA_B_current,10_SCA_B_date,-30_SCA_A_recorded_temp,-30_SCA_A_slope,-30_SCA_A_offset,-30_SCA_A_current,-30_SCA_A_date,-30_SCA_B_recorded_temp,-30_SCA_B_slope,-30_SCA_B_offset,-30_SCA_B_current,-30_SCA_B_date,in_range
007,0x81aa,0x81a9,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
008,0x6f36,0x6efd,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
009,0x6f36,0x6efd,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
010,0x46be,0x46a5,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
011,0x46ea,0x46a4,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
012,0x81aa,0x81a9,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
013,0x46d5,0x46d2,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
016,0x6f36,0x6efd,None,None,V1,V1,10,19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
017,0x81dd,0x4702,0xb228278e,0xf2ae4626,V2,V2,6,6.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
018,0x81c4,0x814f,0x1aade65e,0xbaaed0f8,V2,V2,13,9,25.0053406576639,0.00024318108034712,0.000292847069690627,9.93573854084898E-05,2025-07-15 09:11:46.578160,25.0053406576639,0.000242487508869249,0.00126751687856563,0.00010063453501309,2025-07-15 09:11:46.578160,9.96871900511177,0.000243717202163989,0.0215106340023361,0.000121009377313369,2024-06-17 14:28:17.196421,9.96871900511177,0.000243275884070574,0.0223322013806329,0.000122046552293793,2024-06-17 14:28:17.196421,-30.2250705729763,0.000247511367200788,0.000249821587087307,0.000104403946197464,2023-09-22 13:54:07.667076,-30.0488288700694,0.000248703652780018,-0.00620644079539356,7.75232586667005E-05,2023-09-22 13:54:07.667076,False
019,0x4670,0x8161,0x6caf3905,0xa429e038,V1,V1,19,16.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
